,FIRE_YEAR,STATE,NWCG_REPORTING_AGENCY,Count
305,1993,NV,FS,108
306,1993,NV,FWS,4
307,1993,NV,NPS,22
308,1993,NV,TRIBE,5
309,1993,NY,FWS,3
310,1993,NY,NPS,70
311,1993,NY,ST/C&L,231
312,1993,OH,FS,14
313,1993,OH,NPS,4
314,1993,OK,BIA,108
315,1993,OK,FS,38
316,1993,OK,FWS,24
317,1993,OK,NPS,31
318,1993,OK,ST/C&L,2096
319,1993,OR,BIA,82
320,1993,OR,BLM,234
321,1993,OR,FS,748
322,1993,OR,FWS,11
323,1993,OR,NPS,13
324,1993,OR,ST/C&L,764
325,1993,PA,FS,6
326,1993,PA,NPS,13
327,1993,PR,FWS,1
328,1993,SC,FS,134
329,1993,SC,FWS,8
330,1993,SC,NPS,2
331,1993,SC,ST/C&L,5143
332,1993,SD,BIA,353
333,1993,SD,BLM,1
334,1993,SD,FS,61
335,1993,SD,FWS,3
336,1993,SD,NPS,2
337,1993,SD,ST/C&L,18
338,1993,TN,FS,48
339,1993,TN,FWS,1
340,1993,TN,NPS,16
341,1993,TX,FS,70
342,1993,TX,FWS,49
343,1993,TX,NPS,62
344,1993,TX,ST/C&L,1276
345,1993,UT,BIA,30
346,1993,UT,BLM,213
347,1993,UT,FS,234
348,1993,UT,NPS,22
349,1993,UT,ST/C&L,211
350,1993,VA,FS,28
351,1993,VA,FWS,5
352,1993,VA,NPS,21
353,1993,VT,FS,1
354,1993,WA,BIA,139
355,1993,WA,BLM,15
356,1993,WA,FS,256
357,1993,WA,FWS,28
358,1993,WA,NPS,38
359,1993,WA,ST/C&L,507
360,1993,WA,TRIBE,3
361,1993,WI,BIA,42
362,1993,WI,FS,15
363,1993,WI,FWS,1
364,1993,WI,ST/C&L,825
365,1993,WV,FS,10
366,1993,WV,NPS,27
367,1993,WV,ST/C&L,809
368,1993,WY,BIA,12
369,1993,WY,BLM,54
370,1993,WY,FS,90
371,1993,WY,FWS,1
372,1993,WY,NPS,17
373,1993,WY,ST/C&L,95
374,1994,AK,BIA,5
375,1994,AK,BLM,223
376,1994,AK,FS,44
377,1994,AK,FWS,2
378,1994,AK,ST/C&L,365
379,1994,AL,FS,65
380,1994,AL,FWS,19
381,1994,AL,NPS,13
382,1994,AL,ST/C&L,3355
383,1994,AR,FS,132
384,1994,AR,FWS,4
385,1994,AR,NPS,31
386,1994,AZ,BIA,1325
387,1994,AZ,BLM,280
388,1994,AZ,FS,1942
389,1994,AZ,FWS,16
390,1994,AZ,NPS,186
391,1994,AZ,ST/C&L,770
392,1994,CA,BIA,276
393,1994,CA,BLM,341
394,1994,CA,FS,2253
395,1994,CA,FWS,45
396,1994,CA,NPS,188
397,1994,CA,ST/C&L,5546
398,1994,CO,BIA,158
399,1994,CO,BLM,778
400,1994,CO,FS,546
401,1994,CO,FWS,2
402,1994,CO,NPS,101
403,1994,CO,ST/C&L,930
404,1994,CT,ST/C&L,290
405,1994,DC,NPS,4
406,1994,DE,FWS,2
407,1994,FL,BIA,14
408,1994,FL,FS,107
409,1994,FL,FWS,46
410,1994,FL,NPS,130
411,1994,FL,ST/C&L,3232
412,1994,FL,TRIBE,1
413,1994,GA,FS,54
414,1994,GA,FWS,11
415,1994,GA,NPS,6
416,1994,GA,ST/C&L,6513
417,1994,HI,NPS,9
418,1994,IA,BIA,4
419,1994,IA,FWS,1
420,1994,ID,BIA,17
421,1994,ID,BLM,328
422,1994,ID,FS,2141
423,1994,ID,FWS,12
424,1994,ID,NPS,2
425,1994,ID,ST/C&L,811
426,1994,ID,TRIBE,25
427,1994,IL,FS,23
428,1994,IL,FWS,4
429,1994,IN,FS,3
430,1994,IN,NPS,82
431,1994,KS,FS,15
432,1994,KS,FWS,22
433,1994,KS,ST/C&L,10
434,1994,KY,FS,176
435,1994,KY,NPS,2
436,1994,LA,FS,78
437,1994,LA,FWS,32
438,1994,LA,NPS,1
439,1994,MA,NPS,1
440,1994,MD,FWS,12
441,1994,MD,NPS,4
442,1994,ME,NPS,5
443,1994,ME,ST/C&L,530
444,1994,ME,TRIBE,6
445,1994,MI,FS,113
446,1994,MI,NPS,4
447,1994,MI,ST/C&L,527
448,1994,MN,BIA,374
449,1994,MN,FS,100
450,1994,MN,FWS,10
451,1994,MN,NPS,5
452,1994,MN,ST/C&L,1415
453,1994,MO,FS,182
454,1994,MO,NPS,27
455,1994,MO,ST/C&L,1398
456,1994,MS,FS,116
457,1994,MS,FWS,20
458,1994,MS,NPS,17
459,1994,MS,ST/C&L,3202
460,1994,MT,BIA,637
461,1994,MT,BLM,106
462,1994,MT,FS,1507
463,1994,MT,FWS,19
464,1994,MT,NPS,49
465,1994,MT,ST/C&L,661
466,1994,NC,BIA,17
467,1994,NC,FS,95
468,1994,NC,FWS,7
469,1994,NC,NPS,15
470,1994,NC,ST/C&L,5605
471,1994,ND,BIA,465
472,1994,ND,FS,11
473,1994,ND,FWS,21
474,1994,ND,NPS,4
475,1994,NE,BIA,32
476,1994,NE,FS,19
477,1994,NE,FWS,27
478,1994,NE,ST/C&L,2
479,1994,NH,FS,3
480,1994,NH,ST/C&L,130
481,1994,NJ,NPS,1
482,1994,NJ,ST/C&L,1325
483,1994,NM,BIA,351
484,1994,NM,BLM,244
485,1994,NM,FS,944
486,1994,NM,FWS,9
487,1994,NM,NPS,52
488,1994,NM,ST/C&L,1068
489,1994,NV,BLM,481
490,1994,NV,FS,195
