,FIRE_YEAR,STATE,FIRE_SIZE
931,2010,MN,35680.04
932,2010,MO,14471.5
933,2010,MS,36217.72
934,2010,MT,57476.1
935,2010,NC,16987.3
936,2010,ND,3754.8
937,2010,NE,23333.690000000002
938,2010,NH,52.043
939,2010,NJ,9951.3
940,2010,NM,131034.57
941,2010,NV,19970.15
942,2010,NY,4300.13
943,2010,OH,1512.98
944,2010,OK,117098.0
945,2010,OR,87747.78
946,2010,PA,3499.96599
947,2010,PR,7171.15
948,2010,SC,9468.37
949,2010,SD,10395.776
950,2010,TN,22093.45
951,2010,TX,242902.03
952,2010,UT,62650.369999999995
953,2010,VA,11437.630000000001
954,2010,VT,0.35
955,2010,WA,94309.8
956,2010,WI,2500.7956
957,2010,WV,25454.16
958,2010,WY,86949.4492
959,2011,AK,293004.1
960,2011,AL,54097.18
961,2011,AR,47899.69
962,2011,AZ,1038087.8300000001
963,2011,CA,192277.92
964,2011,CO,164886.345
965,2011,CT,237.38
966,2011,DC,0.2
967,2011,FL,331175.8
968,2011,GA,437903.79000000004
969,2011,HI,4591.58
970,2011,IA,7461.4325
971,2011,ID,409349.05
972,2011,IL,2223.5299999999997
973,2011,IN,699.5
974,2011,KS,100670.11
975,2011,KY,23874.23
976,2011,LA,37838.91
977,2011,MD,10247.38
978,2011,ME,167.69
979,2011,MI,1832.48
980,2011,MN,140188.68
981,2011,MO,31844.55
982,2011,MS,29025.64
983,2011,MT,139286.18
984,2011,NC,109458.78
985,2011,ND,4049.38
986,2011,NE,39060.632
987,2011,NH,4.45
988,2011,NJ,818.25
989,2011,NM,1143943.7
990,2011,NV,422953.14999999997
991,2011,NY,1370.94
992,2011,OH,287.74
993,2011,OK,327168.1
994,2011,OR,224034.59
995,2011,PA,579.41
996,2011,PR,23233.57
997,2011,RI,28.04
998,2011,SC,29686.05
999,2011,SD,66036.496
1000,2011,TN,14787.0
1001,2011,TX,3496503.95
1002,2011,UT,62043.63
1003,2011,VA,25007.88
1004,2011,WA,42615.25
1005,2011,WI,635.757
1006,2011,WV,5811.46
1007,2011,WY,134830.58
1008,2012,AK,300587.0
1009,2012,AL,29156.46
1010,2012,AR,38848.49
1011,2012,AZ,229022.02
1012,2012,CA,764759.33
1013,2012,CO,271263.39
1014,2012,CT,517.3
1015,2012,DC,4.4
1016,2012,DE,39.85
1017,2012,FL,138965.24
1018,2012,GA,25434.62
1019,2012,HI,7987.71
1020,2012,IA,3984.011
1021,2012,ID,1776256.39
1022,2012,IL,1356.15
1023,2012,IN,1042.2
1024,2012,KS,57330.13
1025,2012,KY,32630.53
1026,2012,LA,10519.22
1027,2012,MA,2.9
1028,2012,MD,1439.9
1029,2012,ME,469.85
1030,2012,MI,28326.69
1031,2012,MN,64587.04
1032,2012,MO,18722.5
1033,2012,MS,12723.3
1034,2012,MT,1007209.58
1035,2012,NC,35318.75
1036,2012,ND,41722.89
1037,2012,NE,336108.359
1038,2012,NH,101.06
1039,2012,NJ,3142.55
1040,2012,NM,370998.82
1041,2012,NV,455326.07
1042,2012,NY,3529.34
1043,2012,OH,1097.02
1044,2012,OK,203966.35
1045,2012,OR,1531105.27
1046,2012,PA,3207.56
1047,2012,PR,392.2
1048,2012,RI,39.910000000000004
1049,2012,SC,15437.33
1050,2012,SD,170466.449
1051,2012,TN,21728.19
1052,2012,TX,163114.9
1053,2012,UT,432902.185
1054,2012,VA,48077.78
1055,2012,VT,356.488
1056,2012,WA,285381.41
1057,2012,WI,2796.7
1058,2012,WV,16745.52
1059,2012,WY,482305.46
1060,2013,AK,1320759.3
